## FlyBase gene genetic interactions report
## Generated: Sat May 29 01:03:13 2021
## Using datasource: dbi:Pg:dbname=fb_2021_03_reporting;host=flysql20;port=5432

##Starting_gene(s)_symbol	Starting_gene(s)_FBgn	Interacting_gene(s)_symbol	Interacting_gene(s)_FBgn	Interaction_type	Publication_FBrf
dlg1	FBgn0001624	Def|imd	FBgn0010385|FBgn0013983	suppressible	FBrf0243114
Sxl	FBgn0264270	vir	FBgn0003977	suppressible	FBrf0132340
DCTN1-p150	FBgn0001108	TBPH	FBgn0025790	suppressible	FBrf0236138
sax	FBgn0003317	Med	FBgn0011655	suppressible	FBrf0102615
Pka-C1	FBgn0000273	ci	FBgn0004859	suppressible	FBrf0137251
rpr	FBgn0011706	klu	FBgn0013469	suppressible	FBrf0179423
N	FBgn0004647	Stim	FBgn0045073	suppressible	FBrf0207338
Nf1	FBgn0015269	ine	FBgn0011603	enhanceable	FBrf0138519
Smox	FBgn0025800	CG9733	FBgn0039759	suppressible	FBrf0235445
Apc	FBgn0015589	ebd1|ebd2	FBgn0035153|FBgn0037076	suppressible	FBrf0236090
Dcr-2|Eogt	FBgn0034246|FBgn0264672	Dl	FBgn0000463	suppressible	FBrf0221543
hep	FBgn0010303	puc	FBgn0243512	enhanceable	FBrf0206846
fj	FBgn0000658	ds	FBgn0284247	enhanceable	FBrf0174590
Vinc	FBgn0004397	mys	FBgn0004657	suppressible	FBrf0234127
Pc	FBgn0003042	eff	FBgn0011217	enhanceable	FBrf0058522
pbl	FBgn0003041	stg	FBgn0003525	suppressible	FBrf0179437
Det	FBgn0264291	CycB	FBgn0000405	enhanceable	FBrf0222435
kn	FBgn0001319	Rac1	FBgn0010333	enhanceable	FBrf0202055
cindr	FBgn0027598	CG17721	FBgn0037885	suppressible	FBrf0237191
N	FBgn0004647	Nipped-A	FBgn0053554	enhanceable	FBrf0109032
ro	FBgn0003267	E(ro<up>DOM</up>)1065	FBgn0043597	enhanceable	FBrf0131272
Uba1	FBgn0023143	Stat92E	FBgn0016917	suppressible	FBrf0201340
Rac1	FBgn0010333	mbc	FBgn0015513	suppressible	FBrf0105287
Ret	FBgn0011829	Pp1-87B	FBgn0004103	enhanceable	FBrf0190765
upd1	FBgn0004956	sax	FBgn0003317	suppressible	FBrf0167623
Doa	FBgn0265998	Cpsf6	FBgn0035872	suppressible	FBrf0238799
Pi3K92E|btl::Egfr	FBgn0015279|FBgn0022739	dap	FBgn0010316	suppressible	FBrf0206710
Fmr1	FBgn0028734	l(2)gl	FBgn0002121	suppressible	FBrf0183882
fog	FBgn0000719	Ptp52F	FBgn0034085	suppressible	FBrf0223456
E2f1	FBgn0011766	E(Pc)	FBgn0000581	suppressible	FBrf0220353
Abl	FBgn0000017	chb	FBgn0021760	enhanceable	FBrf0179303
btl::Egfr	FBgn0022739	sty	FBgn0014388	suppressible	FBrf0111472
pho	FBgn0002521	E(Pc)	FBgn0000581	enhanceable	FBrf0066905
H	FBgn0001169	l(2)k10113	FBgn0021961	suppressible	FBrf0190751
pbl	FBgn0003041	Cdk4	FBgn0016131	enhanceable	FBrf0199094
