## FlyBase gene genetic interactions report
## Generated: Sat May 29 01:03:13 2021
## Using datasource: dbi:Pg:dbname=fb_2021_03_reporting;host=flysql20;port=5432

##Starting_gene(s)_symbol	Starting_gene(s)_FBgn	Interacting_gene(s)_symbol	Interacting_gene(s)_FBgn	Interaction_type	Publication_FBrf
fz2	FBgn0016797	Itgbn	FBgn0010395	suppressible	FBrf0219768
CycE	FBgn0010382	Egfr	FBgn0003731	enhanceable	FBrf0193620
N	FBgn0004647	Pak	FBgn0267698	suppressible	FBrf0220977
fzr	FBgn0262699	didum	FBgn0261397	suppressible	FBrf0237532
pbl	FBgn0003041	iPLA2-VIA	FBgn0036053	suppressible	FBrf0199094
ry	FBgn0003308	Zip71B	FBgn0036461	suppressible	FBrf0234803
tor	FBgn0003733	Su(tor)2-278	FBgn0014049	suppressible	FBrf0058535
HUWE1	FBgn0030674	grnd	FBgn0032682	suppressible	FBrf0240182
Drice|hid	FBgn0019972|FBgn0003997	Dcp-1	FBgn0010501	suppressible	FBrf0192581
Irc	FBgn0038465	Duox	FBgn0283531	suppressible	FBrf0190609
Ras85D|scrib	FBgn0003205|FBgn0263289	shg	FBgn0003391	suppressible	FBrf0168030
coro	FBgn0265935	dpp	FBgn0000490	suppressible	FBrf0174809
yki	FBgn0034970	vg	FBgn0003975	suppressible	FBrf0204632
para	FBgn0285944	Mdr65	FBgn0004513	suppressible	FBrf0223471
ttk	FBgn0003870	stg	FBgn0003525	suppressible	FBrf0155467
slmb	FBgn0283468	cnc	FBgn0262975	suppressible	FBrf0246444
Pi3K92E	FBgn0015279	RpS17	FBgn0005533	enhanceable	FBrf0190712
faf	FBgn0005632	eff	FBgn0011217	suppressible	FBrf0112089
spi|vn	FBgn0005672|FBgn0003984	Krn	FBgn0052179	enhanceable	FBrf0226552
cac	FBgn0263111	Frq2	FBgn0083228	suppressible	FBrf0209325
pbl	FBgn0003041	sti	FBgn0002466	suppressible	FBrf0199094
PolD3	FBgn0283467	Pif1	FBgn0031540	enhanceable	FBrf0243964
Ras64B	FBgn0003206	Ras85D	FBgn0003205	suppressible	FBrf0162001
Dys	FBgn0260003	DCTN2-p50	FBgn0021825	suppressible	FBrf0205440
Ras85D	FBgn0003205	l(2)43Bb	FBgn0004123	enhanceable	FBrf0139680
Egfr|psq	FBgn0003731|FBgn0263102	Mad	FBgn0011648	suppressible	FBrf0225573
pnr	FBgn0003117	Hr4	FBgn0264562	enhanceable	FBrf0147055
mir-318	FBgn0262420	ttk	FBgn0003870	enhanceable	FBrf0228332
mys	FBgn0004657	Lasp	FBgn0063485	enhanceable	FBrf0207050
Vang	FBgn0015838	fred	FBgn0051774	suppressible	FBrf0208836
Ras85D|scrib	FBgn0003205|FBgn0263289	Mmp2	FBgn0033438	suppressible	FBrf0194142
egr	FBgn0033483	Diap1	FBgn0260635	suppressible	FBrf0151836
pho	FBgn0002521	Spps	FBgn0039169	enhanceable	FBrf0211271
Appl	FBgn0000108	Bace	FBgn0032049	suppressible	FBrf0219983
bru1	FBgn0000114	Mhc	FBgn0264695	suppressible	FBrf0227488
sno	FBgn0265630	ct	FBgn0004198	enhanceable	FBrf0093584
Dl	FBgn0000463	Neurl4	FBgn0283503	enhanceable	FBrf0232482
pb	FBgn0051481	H	FBgn0001169	enhanceable	FBrf0102708
Pc|Haspin	FBgn0003042|FBgn0046706	pds5	FBgn0260012	enhanceable	FBrf0246423
Nsf2	FBgn0266464	fz4	FBgn0027342	suppressible	FBrf0187645
Myc|ref(2)P	FBgn0262656|FBgn0003231	Keap1	FBgn0038475	suppressible	FBrf0222430
aub	FBgn0000146	mei-41	FBgn0004367	suppressible	FBrf0192439
ple	FBgn0005626	Ddc	FBgn0000422	suppressible	FBrf0102773
arm	FBgn0000117	Egfr	FBgn0003731	enhanceable	FBrf0123026
trol	FBgn0284408	Dp|E2f1	FBgn0011763|FBgn0011766	suppressible	FBrf0106044
Ih	FBgn0263397	VGlut	FBgn0031424	suppressible	FBrf0227998
parvin	FBgn0052528	mew	FBgn0004456	enhanceable	FBrf0219742
Myb	FBgn0002914	nej	FBgn0261617	suppressible	FBrf0144853
brat	FBgn0010300	trx	FBgn0003862	suppressible	FBrf0226697
vn	FBgn0003984	spi	FBgn0005672	suppressible	FBrf0226552
Antp	FBgn0260642	art	FBgn0004475	enhanceable	FBrf0063772
CycA	FBgn0000404	Rca1	FBgn0017551	enhanceable	FBrf0141469
β3GalTII	FBgn0033315	ttv	FBgn0265974	enhanceable	FBrf0204719
Pink1	FBgn0029891	Ucp4B	FBgn0031758	suppressible	FBrf0226914
Ras85D	FBgn0003205	ER2-1	FBgn0016638	enhanceable	FBrf0087493
dsh	FBgn0000499	dx	FBgn0000524	enhanceable	FBrf0141440
ci|hpo	FBgn0004859|FBgn0261456	yki	FBgn0034970	suppressible	FBrf0229775
robo2	FBgn0002543	fra	FBgn0011592	suppressible	FBrf0234009
Chi	FBgn0013764	ap::Chi	FBgn0029096	suppressible	FBrf0127419
sll	FBgn0038524	hh	FBgn0004644	suppressible	FBrf0160752
Nsf2	FBgn0266464	GS3087	FBgn0086289	suppressible	FBrf0187645
vn	FBgn0003984	CycG	FBgn0039858	suppressible	FBrf0231264
exp	FBgn0033668	btl	FBgn0285896	enhanceable	FBrf0225894
slpr	FBgn0030018	Tak1	FBgn0026323	enhanceable	FBrf0226737
in	FBgn0001259	fz	FBgn0001085	suppressible	FBrf0147064
nej	FBgn0261617	Pka-R1	FBgn0259243	suppressible	FBrf0131248
aPKC	FBgn0261854	arm	FBgn0000117	suppressible	FBrf0213424
pnr	FBgn0003117	Orct2	FBgn0086365	suppressible	FBrf0147055
Dcr-2|Eogt	FBgn0034246|FBgn0264672	mam	FBgn0002643	suppressible	FBrf0221543
tra2	FBgn0003742	tra2::Hsap\SRSF2	FBgn0025729	suppressible	FBrf0105474
Tm1	FBgn0003721	E(To)10	FBgn0046124	enhanceable	FBrf0137253
Decay	FBgn0028381	Atg7	FBgn0034366	suppressible	FBrf0243748
Dl|lola|psq	FBgn0000463|FBgn0283521|FBgn0263102	ato	FBgn0010433	suppressible	FBrf0207469
TrpA1	FBgn0035934	rut	FBgn0003301	suppressible	FBrf0218409
drk	FBgn0004638	Raf	FBgn0003079	suppressible	FBrf0207513
nmo	FBgn0011817	Clk	FBgn0023076	enhanceable	FBrf0225583
hll	FBgn0286723	bgm	FBgn0027348	enhanceable	FBrf0231861
sli	FBgn0264089	wb	FBgn0261563	enhanceable	FBrf0190142
alph	FBgn0086361	rl	FBgn0003256	enhanceable	FBrf0190087
Tsp66E	FBgn0035936	if	FBgn0001250	enhanceable	FBrf0219949
upd1	FBgn0004956	BuGZ	FBgn0032600	suppressible	FBrf0228957
L	FBgn0267825	hh	FBgn0004644	suppressible	FBrf0187660
l(2)gd1	FBgn0261983	N	FBgn0004647	enhanceable	FBrf0158846
dl	FBgn0260632	eca	FBgn0069242	suppressible	FBrf0179736
Rab23	FBgn0037364	fy	FBgn0001084	enhanceable	FBrf0210720
pbl	FBgn0003041	ttk	FBgn0003870	enhanceable	FBrf0199094
shi	FBgn0003392	BicD	FBgn0000183	enhanceable	FBrf0210180
smo	FBgn0003444	E(smoDN)1333	FBgn0083314	enhanceable	FBrf0188528
Dg	FBgn0034072	mbl	FBgn0265487	enhanceable	FBrf0214383
pcs	FBgn0033988	Btk29A	FBgn0003502	suppressible	FBrf0227943
Lrrk	FBgn0038816	Rbf	FBgn0015799	suppressible	FBrf0211387
mre11	FBgn0020270	nbs	FBgn0261530	enhanceable	FBrf0208278
Tm1	FBgn0003721	E(To)1	FBgn0046125	enhanceable	FBrf0137253
br	FBgn0283451	LIMK1	FBgn0283712	enhanceable	FBrf0174477
dpp	FBgn0000490	Su(dpp)YE12	FBgn0084432	suppressible	FBrf0190738
Pcl	FBgn0003044	Hsc70-4	FBgn0266599	enhanceable	FBrf0135926
aop	FBgn0000097	mir-7	FBgn0262370	suppressible	FBrf0189914
hb	FBgn0001180	ftz	FBgn0001077	enhanceable	unattributed
Src42A	FBgn0264959	Ret	FBgn0011829	suppressible	FBrf0236917
comm	FBgn0010105	robo1::robo2	FBgn0261940	suppressible	FBrf0229066
Nup98-96	FBgn0039120	bip1	FBgn0026263	suppressible	FBrf0226431
cindr	FBgn0027598	Rchy1	FBgn0031816	suppressible	FBrf0237191
smo	FBgn0003444	E(smoDN)1736	FBgn0083301	enhanceable	FBrf0188528
btl::Egfr	FBgn0022739	dock	FBgn0010583	suppressible	FBrf0139680
MetRS-m	FBgn0027083	kdn	FBgn0261955	suppressible	FBrf0237138
b	FBgn0000153	r	FBgn0003189	suppressible	FBrf0219346
wit	FBgn0024179	Mip|Pburs	FBgn0036713|FBgn0264810	suppressible	FBrf0214334
Snr1	FBgn0011715	E(z)	FBgn0000629	enhanceable	FBrf0174517
Sdc	FBgn0010415	sli	FBgn0264089	suppressible	FBrf0216287
Kr	FBgn0001325	Sap130	FBgn0262714	suppressible	FBrf0104417
LanA	FBgn0002526	scb	FBgn0286785	suppressible	FBrf0149077
Paris	FBgn0031610	park	FBgn0041100	suppressible	FBrf0245070
E2f1	FBgn0011766	CycE	FBgn0010382	enhanceable	FBrf0108264
puc	FBgn0243512	sgg	FBgn0003371	suppressible	FBrf0228026
brm	FBgn0000212	Bap60	FBgn0025463	enhanceable	FBrf0187959
Fit1	FBgn0035498	Fit2	FBgn0036688	enhanceable	FBrf0221584
Tor	FBgn0021796	Atg1	FBgn0260945	suppressible	FBrf0230187
CheB42a	FBgn0053348	tra	FBgn0003741	enhanceable	FBrf0195097
ss	FBgn0003513	al	FBgn0000061	enhanceable	FBrf0031706
w	FBgn0003996	Doa	FBgn0265998	suppressible	FBrf0080587
dlg1	FBgn0001624	Ras85D	FBgn0003205	enhanceable	FBrf0224358
dpp	FBgn0000490	dpp::Hsap\BMP4	FBgn0014150	suppressible	FBrf0059247
scrib	FBgn0263289	Pino	FBgn0016926	suppressible	FBrf0102310
gcm	FBgn0014179	E2f2	FBgn0024371	suppressible	FBrf0220515
mir-bft	FBgn0263107	Diap1	FBgn0260635	suppressible	FBrf0211074
shrb	FBgn0086656	l(2)gd1	FBgn0261983	enhanceable	FBrf0227449
pcm	FBgn0020261	Dark	FBgn0263864	suppressible	FBrf0228467
al	FBgn0000061	Diap1	FBgn0260635	enhanceable	FBrf0027643
Rok	FBgn0026181	Mbs	FBgn0005536	suppressible	FBrf0180500
pnr	FBgn0003117	EP1388	FBgn0062689	suppressible	FBrf0147055
ASPP	FBgn0034606	Btk29A	FBgn0003502	suppressible	FBrf0202129
Raf::tor	FBgn0013724	csw	FBgn0000382	suppressible	FBrf0129810
crb	FBgn0259685	kst	FBgn0004167	enhanceable	FBrf0209342
PlexA	FBgn0025741	Pka-C1	FBgn0000273	enhanceable	FBrf0218615
stj	FBgn0261041	cac	FBgn0263111	suppressible	FBrf0209005
Abd-B|Antp|Scr|Ubx|abd-A	FBgn0000015|FBgn0260642|FBgn0003339|FBgn0003944|FBgn0000014	Dfd	FBgn0000439	suppressible	FBrf0086531
chb	FBgn0021760	CG6287	FBgn0032350	suppressible	FBrf0211499
Scr	FBgn0003339	skd	FBgn0003415	enhanceable	FBrf0131257
Irc	FBgn0038465	puc	FBgn0243512	suppressible	FBrf0183868
RhoGAP92B	FBgn0038747	gbb	FBgn0024234	suppressible	FBrf0212218
norpA	FBgn0262738	diehard1	FBgn0283660	suppressible	FBrf0229464
Myc	FBgn0262656	hep	FBgn0010303	suppressible	FBrf0174444
fy|in	FBgn0001084|FBgn0001259	fz	FBgn0001085	suppressible	FBrf0226179
SH3PX1	FBgn0040475	shi	FBgn0003392	suppressible	FBrf0242427
Diap1	FBgn0260635	Buffy	FBgn0040491	suppressible	FBrf0160857
sev	FBgn0003366	mRpL55	FBgn0038678	suppressible	FBrf0192795
Pink1	FBgn0029891	mAcon1|Drp1	FBgn0010100|FBgn0026479	suppressible	FBrf0221471
f	FBgn0262111	E(f)	FBgn0000555	enhanceable	unattributed
egr	FBgn0033483	puc	FBgn0243512	suppressible	FBrf0217390
tkv	FBgn0003716	Pi3K21B	FBgn0020622	suppressible	FBrf0144813
Tom40	FBgn0016041	Atg16	FBgn0039705	suppressible	FBrf0239838
baz	FBgn0000163	cnn	FBgn0013765	enhanceable	FBrf0212822
mir-965	FBgn0262252	wg	FBgn0284084	suppressible	FBrf0229366
upd1	FBgn0004956	E(bx)	FBgn0000541	suppressible	FBrf0155786
srp	FBgn0003507	lz	FBgn0002576	enhanceable	FBrf0167995
Caf1-105	FBgn0033526	eyg	FBgn0000625	enhanceable	FBrf0222414
gnu	FBgn0001120	plu	FBgn0003114	suppressible	FBrf0160882
par-1	FBgn0260934	wts	FBgn0011739	suppressible	FBrf0222342
PDZ-GEF	FBgn0265778	cno	FBgn0259212	enhanceable	FBrf0202988
gro|h	FBgn0001139|FBgn0001168	CtBP	FBgn0020496	suppressible	FBrf0131378
Csk	FBgn0262081	shg	FBgn0003391	enhanceable	FBrf0190225
Bx	FBgn0265598	eEF5	FBgn0285952	enhanceable	FBrf0211594
osk	FBgn0003015	Su(osk)M26	FBgn0020891	suppressible	FBrf0090859
Btk29A	FBgn0003502	pcs	FBgn0033988	suppressible	FBrf0227943
mad2	FBgn0035640	dl	FBgn0260632	suppressible	FBrf0230345
piwi	FBgn0004872	l(3)99Da	FBgn0002400	suppressible	FBrf0167655
kermit	FBgn0010504	fz	FBgn0001085	enhanceable	FBrf0223257
Cap-H2	FBgn0037831	glu	FBgn0015391	enhanceable	FBrf0206059
Spn27A	FBgn0028990	PPO1	FBgn0283437	suppressible	FBrf0151901
Ubx	FBgn0003944	Hel89B	FBgn0022787	enhanceable	FBrf0105802
Sema2b	FBgn0264273	mew|mys	FBgn0004456|FBgn0004657	suppressible	FBrf0231012
ninaA	FBgn0002936	PAPLA1	FBgn0031990	enhanceable	FBrf0226323
park	FBgn0041100	Ask1	FBgn0014006	enhanceable	FBrf0188253
Cortactin	FBgn0025865	mim	FBgn0053558	suppressible	FBrf0210570
Ras85D	FBgn0003205	Rassf	FBgn0039055	suppressible	FBrf0192943
N	FBgn0004647	E(nd)195	FBgn0013936	enhanceable	FBrf0078658
hid	FBgn0003997	NetB	FBgn0015774	suppressible	FBrf0221149
Nsf2	FBgn0266464	Trm1	FBgn0032430	suppressible	FBrf0187645
enc	FBgn0004875	eff	FBgn0011217	enhanceable	FBrf0167518
dome	FBgn0043903	hop	FBgn0004864	suppressible	FBrf0144881
Dref	FBgn0015664	l(1)G0372	FBgn0029061	enhanceable	FBrf0207590
peb	FBgn0003053	RyR	FBgn0011286	suppressible	FBrf0180294
ct	FBgn0004198	ab	FBgn0264442	suppressible	FBrf0180577
Ino80	FBgn0086613	ftz-f1	FBgn0001078	suppressible	FBrf0224231
Pi3K21B	FBgn0020622	Myc	FBgn0262656	suppressible	FBrf0174581
park	FBgn0041100	Traf4	FBgn0026319	suppressible	FBrf0188253
LIMK1	FBgn0283712	RhoGAPp190	FBgn0026375	suppressible	FBrf0174477
park	FBgn0041100	Buffy	FBgn0040491	enhanceable	FBrf0234941
pcx	FBgn0003048	Xbp1	FBgn0021872	suppressible	FBrf0217160
Nsf2	FBgn0266464	kuz	FBgn0259984	suppressible	FBrf0187645
kay	FBgn0001297	Mbs	FBgn0005536	suppressible	FBrf0207092
p120ctn	FBgn0260799	α-Cat	FBgn0010215	enhanceable	FBrf0202887
wls	FBgn0036141	sona	FBgn0034903	suppressible	FBrf0233226
per	FBgn0003068	tim	FBgn0014396	enhanceable	FBrf0108911
hid	FBgn0003997	pnt	FBgn0003118	enhanceable	FBrf0105264
clu	FBgn0034087	TER94	FBgn0286784	suppressible	FBrf0233735
vir	FBgn0003977	Sxl	FBgn0264270	suppressible	FBrf0085215
ncd	FBgn0002924	lwr	FBgn0010602	suppressible	FBrf0134637
Su(fu)|fu	FBgn0005355|FBgn0001079	sauf	FBgn0023426	suppressible	FBrf0100368
Abl	FBgn0000017	robo3	FBgn0041097	enhanceable	FBrf0152273
Ras85D|ftz-f1|scrib	FBgn0003205|FBgn0001078|FBgn0263289	Ets21C	FBgn0005660	suppressible	FBrf0229785
Pdk1	FBgn0020386	PRAS40	FBgn0267824	suppressible	FBrf0217295
Ras85D	FBgn0003205	cnk	FBgn0286070	suppressible	FBrf0130193
sli	FBgn0264089	mys	FBgn0004657	enhanceable	FBrf0190142
bw	FBgn0000241	LAS110	FBgn0262830	suppressible	FBrf0211786
fzr	FBgn0262699	faf	FBgn0005632	suppressible	FBrf0237532
mys	FBgn0004657	vn	FBgn0003984	suppressible	FBrf0128565
kay	FBgn0001297	Sdc	FBgn0010415	enhanceable	FBrf0207092
pnr	FBgn0003117	spi	FBgn0005672	suppressible	FBrf0147055
ago	FBgn0041171	Vhl	FBgn0041174	enhanceable	FBrf0221195
okr	FBgn0002989	Blm	FBgn0002906	enhanceable	FBrf0110094
tor	FBgn0003733	Su(tor)2-15	FBgn0014043	suppressible	FBrf0058535
H	FBgn0001169	kuz	FBgn0259984	suppressible	FBrf0099884
arm	FBgn0000117	lgs	FBgn0039907	suppressible	FBrf0146918
aurA	FBgn0000147	mad2	FBgn0035640	enhanceable	FBrf0230147
SERCA|comt	FBgn0263006|FBgn0000346	CrebB	FBgn0265784	suppressible	FBrf0210453
nkd	FBgn0002945	h	FBgn0001168	enhanceable	FBrf0247022
hid	FBgn0003997	Dronc|Strica	FBgn0026404|FBgn0033051	suppressible	FBrf0192581
gcm	FBgn0014179	crol	FBgn0020309	suppressible	FBrf0220515
rl	FBgn0003256	Mkp3	FBgn0036844	suppressible	FBrf0160889
Rh6|cry	FBgn0019940|FBgn0025680	Rh5	FBgn0014019	enhanceable	FBrf0217408
GckIII	FBgn0266465	Ccm3	FBgn0038331	enhanceable	FBrf0221823
ttv	FBgn0265974	β3GalTII	FBgn0033315	enhanceable	FBrf0204719
L	FBgn0267825	CG42709	FBgn0261674	suppressible	FBrf0187660
gro	FBgn0001139	N	FBgn0004647	suppressible	FBrf0141440
Nsf2	FBgn0266464	E2f1	FBgn0011766	suppressible	FBrf0187645
flw	FBgn0000711	zip	FBgn0287873	suppressible	FBrf0213586
ft	FBgn0001075	par-1	FBgn0260934	suppressible	FBrf0222342
ninaA	FBgn0002936	ninaE	FBgn0002940	suppressible	FBrf0053360
CycE	FBgn0010382	S(Sev-CycE)D28	FBgn0041783	suppressible	FBrf0127183
pk	FBgn0003090	CG31687	FBgn0051687	enhanceable	FBrf0218210
Ras85D	FBgn0003205	rl	FBgn0003256	suppressible	FBrf0077257
csw	FBgn0000382	drk	FBgn0004638	enhanceable	FBrf0129810
Rho1	FBgn0014020	conu	FBgn0039994	suppressible	FBrf0223340
Cln7	FBgn0035767	rictor	FBgn0031006	suppressible	FBrf0243919
mbl	FBgn0265487	Ugt36D1	FBgn0032713	suppressible	FBrf0210274
pbl	FBgn0003041	Cerk	FBgn0037315	suppressible	FBrf0199094
SNF4Aγ	FBgn0264357	Bace	FBgn0032049	enhanceable	FBrf0217742
gish	FBgn0250823	ey	FBgn0005558	enhanceable	FBrf0145174
fred	FBgn0051774	Su(H)	FBgn0004837	suppressible	FBrf0158849
Rbf	FBgn0015799	CycE	FBgn0010382	enhanceable	FBrf0221645
Bx|ap	FBgn0265598|FBgn0267978	chm	FBgn0028387	suppressible	FBrf0202749
Arr2	FBgn0000121	lace	FBgn0002524	suppressible	FBrf0157218
Ras85D	FBgn0003205	Raf	FBgn0003079	suppressible	FBrf0244211
Ras85D	FBgn0003205	Taf6	FBgn0010417	suppressible	FBrf0087493
Cul2	FBgn0032956	tkv	FBgn0003716	suppressible	FBrf0229322
hb	FBgn0001180	pdm2	FBgn0004394	suppressible	FBrf0210578
N	FBgn0004647	E(Egfr)C12	FBgn0023223	suppressible	FBrf0099460
PGRP-LE	FBgn0030695	Listericin	FBgn0033593	suppressible	FBrf0210770
egr	FBgn0033483	hep	FBgn0010303	suppressible	FBrf0148977
BEAF-32	FBgn0015602	dwg	FBgn0000520	enhanceable	FBrf0158943
Mad	FBgn0011648	Actβ	FBgn0024913	suppressible	FBrf0205031
robo2	FBgn0002543	robo1	FBgn0005631	enhanceable	FBrf0187388
Dg	FBgn0034072	Pgk	FBgn0250906	enhanceable	FBrf0205440
RN-tre	FBgn0020620	Rab11	FBgn0015790	enhanceable	FBrf0211130
Pcl	FBgn0003044	corto	FBgn0010313	enhanceable	FBrf0145129
fw	FBgn0001083	stan	FBgn0024836	suppressible	FBrf0222723
Bx|ap	FBgn0265598|FBgn0267978	CG8405	FBgn0034071	suppressible	FBrf0202749
rpr	FBgn0011706	Diap1	FBgn0260635	suppressible	FBrf0151953
Syx7	FBgn0267849	ben	FBgn0000173	suppressible	FBrf0228803
Dref	FBgn0015664	HP6	FBgn0031613	suppressible	FBrf0207590
ac	FBgn0000022	su(sc)r	FBgn0003577	suppressible	FBrf0056191
Myc	FBgn0262656	put	FBgn0003169	suppressible	FBrf0174445
Ras85D	FBgn0003205	CG4936	FBgn0038768	enhanceable	FBrf0224477
dom	FBgn0020306	CG17385	FBgn0033934	enhanceable	FBrf0230159
Pten	FBgn0026379	Pi3K92E	FBgn0015279	enhanceable	FBrf0127089
ct	FBgn0004198	CG9270	FBgn0032908	suppressible	FBrf0187644
Pc	FBgn0003042	Abd-B|chm	FBgn0000015|FBgn0028387	enhanceable	FBrf0146943
br	FBgn0283451	E(br)333	FBgn0069447	enhanceable	FBrf0167639
Lrrk	FBgn0038816	Rab7	FBgn0015795	suppressible	FBrf0217544
dlg1	FBgn0001624	vg	FBgn0003975	suppressible	FBrf0227898
wapl	FBgn0004655	pds5	FBgn0260012	enhanceable	FBrf0219747
upd1	FBgn0004956	Cdk1	FBgn0004106	suppressible	FBrf0190752
Gαo	FBgn0001122	fz	FBgn0001085	suppressible	FBrf0191444
Naam	FBgn0051216	Sirt1	FBgn0024291	suppressible	FBrf0207070
LIMK1	FBgn0283712	sif	FBgn0085447	enhanceable	FBrf0180582
βTub85D	FBgn0003889	αTub84B	FBgn0003884	enhanceable	FBrf0066557
Snr1	FBgn0011715	Hsc70-4	FBgn0266599	enhanceable	FBrf0174517
lsn	FBgn0260940	Vha55	FBgn0005671	suppressible	FBrf0210791
mir-279	FBgn0262448	upd1	FBgn0004956	suppressible	FBrf0217497
pnr	FBgn0003117	smo	FBgn0003444	enhanceable	FBrf0147055
PolA1|mei-41	FBgn0259113|FBgn0004367	CycB	FBgn0000405	suppressible	FBrf0200561
smo	FBgn0003444	E(smoDN)2169	FBgn0083283	enhanceable	FBrf0188528
Ras85D	FBgn0003205	CG7483	FBgn0037573	suppressible	FBrf0212064
bw	FBgn0000241	Rm62	FBgn0003261	suppressible	FBrf0211786
na	FBgn0002917	w	FBgn0003996	enhanceable	FBrf0141614
Wnk	FBgn0037098	fray	FBgn0023083	suppressible	FBrf0226256
ihog	FBgn0031872	boi	FBgn0040388	suppressible	FBrf0212294
Dg	FBgn0034072	tw	FBgn0086368	enhanceable	FBrf0211260
tkv	FBgn0003716	nwk	FBgn0263456	suppressible	FBrf0204925
Ser	FBgn0004197	ap	FBgn0267978	suppressible	FBrf0103296
CycE	FBgn0010382	S(CycE<up>JP</up>)20S1	FBgn0082628	suppressible	FBrf0180291
Nf-YB	FBgn0032816	sev	FBgn0003366	suppressible	FBrf0221251
sra	FBgn0086370	CanA-14F	FBgn0267912	suppressible	FBrf0215272
CycE	FBgn0010382	Hsc70-4	FBgn0266599	suppressible	FBrf0151282
pnr	FBgn0003117	pum	FBgn0003165	enhanceable	FBrf0147055
osa	FBgn0261885	brm	FBgn0000212	suppressible	FBrf0124978
Dns	FBgn0018737	Brd	FBgn0000216	enhanceable	FBrf0088401
Tsc1	FBgn0026317	foxo	FBgn0038197	enhanceable	FBrf0162177
brat	FBgn0010300	grh	FBgn0259211	suppressible	FBrf0237716
nej	FBgn0261617	Pfas	FBgn0000052	enhanceable	FBrf0190701
eys|prom	FBgn0031414|FBgn0259210	sqh	FBgn0003514	enhanceable	FBrf0226275
y	FBgn0004034	mod(mdg4)	FBgn0002781	suppressible	FBrf0191177
Vhl	FBgn0041174	ago	FBgn0041171	suppressible	FBrf0221195
aos	FBgn0004569	rb	FBgn0003210	enhanceable	FBrf0214287
Ras85D	FBgn0003205	alph	FBgn0086361	enhanceable	FBrf0190087
Ras85D	FBgn0003205	bchs	FBgn0043362	enhanceable	FBrf0179402
arm|sgg	FBgn0000117|FBgn0003371	aPKC	FBgn0261854	enhanceable	FBrf0213424
scrib	FBgn0263289	grnd	FBgn0032682	suppressible	FBrf0228803
dx	FBgn0000524	N	FBgn0004647	suppressible	FBrf0056273
Rae1	FBgn0034646	Atg1	FBgn0260945	suppressible	FBrf0216253
Dfd	FBgn0000439	WC1	FBgn0026013	enhanceable	FBrf0105823
ninaE	FBgn0002940	Traf4	FBgn0026319	suppressible	FBrf0224179
Dref	FBgn0015664	l(1)G0228	FBgn0027262	enhanceable	FBrf0207590
Ser	FBgn0004197	H	FBgn0001169	suppressible	FBrf0089839
ci	FBgn0004859	vg	FBgn0003975	suppressible	FBrf0229775
CG8677	FBgn0026577	rept	FBgn0040075	enhanceable	FBrf0210332
path	FBgn0036007	Tor	FBgn0021796	enhanceable	FBrf0187461
gcm	FBgn0014179	psq	FBgn0263102	enhanceable	FBrf0220515
N|E(spl)m8-HLH	FBgn0004647|FBgn0000591	ato	FBgn0010433	enhanceable	FBrf0108246
net	FBgn0002931	mor	FBgn0002783	enhanceable	FBrf0174517
hid	FBgn0003997	Vps25	FBgn0022027	suppressible	FBrf0206508
Cdc42	FBgn0010341	Tlk	FBgn0283657	enhanceable	FBrf0187664
N	FBgn0004647	ab	FBgn0264442	enhanceable	FBrf0047791
ph-p	FBgn0004861	Hsc70-4	FBgn0266599	suppressible	FBrf0135926
E(spl)mβ-HLH	FBgn0002733	sc	FBgn0004170	enhanceable	FBrf0241584
arm	FBgn0000117	Arp3	FBgn0262716	suppressible	FBrf0217336
nvy	FBgn0005636	ase	FBgn0000137	suppressible	FBrf0190182
a(2)48	FBgn0004933	a(1)48	FBgn0004930	enhanceable	unattributed
Pvr	FBgn0032006	EP1340	FBgn0062692	suppressible	FBrf0187664
in	FBgn0001259	dsh	FBgn0000499	enhanceable	FBrf0147064
Smox	FBgn0025800	Optix	FBgn0025360	suppressible	FBrf0235445
Bx	FBgn0265598	CG14204	FBgn0031032	enhanceable	FBrf0211594
nwk	FBgn0263456	tkv	FBgn0003716	enhanceable	FBrf0214154
flw	FBgn0000711	Mbs	FBgn0005536	suppressible	FBrf0180501
dgo	FBgn0086898	dsh	FBgn0000499	enhanceable	FBrf0188147
vn	FBgn0003984	rho	FBgn0004635	suppressible	FBrf0144828
sli	FBgn0264089	Sos	FBgn0001965	enhanceable	FBrf0127081
Pink1	FBgn0029891	park	FBgn0041100	suppressible	FBrf0205047
pan	FBgn0085432	tws	FBgn0004889	enhanceable	FBrf0174550
trc	FBgn0003744	mats	FBgn0038965	suppressible	FBrf0188034
htl::tor	FBgn0014854	Ras85D	FBgn0003205	suppressible	FBrf0106478
Pink1	FBgn0029891	Khc	FBgn0001308	suppressible	FBrf0217671
mir-bft	FBgn0263107	mir-263b	FBgn0262371	suppressible	FBrf0211074
smo	FBgn0003444	E(smoDN)2640	FBgn0083270	enhanceable	FBrf0188528
Ret	FBgn0011829	Nek2	FBgn0029970	enhanceable	FBrf0222571
wg	FBgn0284084	Syx13	FBgn0036341	suppressible	FBrf0203146
p53	FBgn0039044	lok	FBgn0019686	enhanceable	FBrf0212376
ninaE	FBgn0002940	CG3337	FBgn0038871	suppressible	FBrf0223683
gbb	FBgn0024234	sax	FBgn0003317	suppressible	FBrf0217004
Ras85D|sev	FBgn0003205|FBgn0003366	frc	FBgn0042641	suppressible	FBrf0105879
